municipality,kd,document
Балашиха,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Долгопрудный,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Котельники,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Красногорск,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Ленинский,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Люберцы,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Мытищи,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Одинцовский,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Реутов,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Химки,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Королев,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Домодедово,0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Власиха (ЗАТО),0.1,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Раменский,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Пушкинский,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Наро-Фоминский,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Дмитровский,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Щелково,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Лосино-Петровский,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Жуковский,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Солнечногорск,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
