district,k2_inside_ttk,k2_outside_ttk,k2,source
Академический,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Алексеевский,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Алтуфьевский,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Арбат,,,"0,2",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Аэропорт,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бабушкинский,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Басманный,"0,2","0,5",,в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Беговой,"0,2","0,5",,в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бекасово,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бескудниковский,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бибирево,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бирюлево Восточное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бирюлево Западное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Богородское,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Братеево,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бутово Северное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бутово Южное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Бутырский,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Вешняки,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Внуково,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Войковский,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Вороново,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Восточное Дегунино,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Восточное Измайлово,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Восточный,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Выхино-Жулебино,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Гагаринский,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Головинский,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
